"Stn","FoV","Lat","Lon","Speed_ms","total_time","Area","Litter"
"crc0584",0.82,58.11769947,11.21662327,0.311576121112222,604,154.317421264461,0
"crc0631",0.82,58.03490068,11.36679685,0.282620486945556,600.97,139.27407591253,0
"crc0687",0.82,57.9177838,11.38622595,0.308666666666667,481.1,121.769617333333,0
"crc0015",0.82,58.94463345,10.93289208,0.309024748808889,661.3,167.573614437601,0
"crc0124",0.82,58.77868548,11.09110955,0.274794256987778,662.17,149.207620782669,0
"crc0379",0.82,58.3302618,11.12334783,0.307688635241111,417.53,105.344773415221,0
"crc0718",0.82,57.88075498,11.4968664,0.309946379117778,600.97,152.740149875897,0
"s2c0035",0.82,57.91421768,11.06834415,0.317114651607778,631.17,164.125668817331,0
"s2c0087",0.82,57.86698663,11.2433074,0.309054438941111,600.7,152.232181206979,0
"s2c0164",0.82,57.81165965,11.19801493,0.309068576388889,600.63,152.221404409896,0
"s2c0240",0.82,57.76640623,11.26599708,0.307506265714444,600.97,151.537673215256,0
"s2c0481",0.82,57.66487767,11.3530927,0.308938859736667,600.73,152.182849791879,0
"s2c0772",0.82,57.5764532,11.42182923,0.309456095556667,601.27,152.574666591793,0
"s3c0027",0.82,56.9126523,12.24500858,0.314382715992222,601.23,154.993382675523,0
"s3c0481",0.82,56.67726158,12.39392933,0.307738545097778,600.93,151.642045602598,0
"s3c0537",0.82,56.65611908,12.10748395,0.308666666666667,601,152.117106666667,0
"s3c0808",0.82,56.56932222,11.88957583,0.308150933024444,601.53,151.996865208599,0
"s3c0890",0.82,56.54532837,12.28908998,0.308931844257778,601.33,152.331388444174,0
"s3c0974",0.82,56.5126273,11.49873423,0.308666666666667,601.37,152.210756133333,0
"s3c1031",0.82,56.50310987,11.95499185,0.309965769043333,600.9,152.731913106874,0
"s3c1313",0.82,56.41108462,11.9765907,0.307885232243333,601.4,151.832986510335,0
"s3c1400",0.82,56.3773017,12.35708563,0.306365204786667,600.67,150.89999779855,0
"s3c1449",0.82,56.38419845,12.15164062,0.306645274001111,780.87,196.349077989583,0
"s3c1594",0.82,56.30133087,12.00303082,0.30907603892,602.4,152.673672793235,0
"s3c1714",0.82,56.23488462,11.555054,0.311166318268889,963.13,245.748765213738,0
"s4c0031",0.82,57.25591097,11.9987681,0.310132700092222,592.77,150.746635719606,0
"s4c0102",0.82,57.17585507,12.05575225,0.30337674968,601.43,149.617100419235,0
"s4c0302",0.82,57.04746812,11.9250086,0.306400978738889,600.67,150.917618237252,0
"s5c0004",0.82,57.49528653,11.62290213,0.308534418947778,601.03,152.05952229255,0
"s5c0144",0.82,57.41184953,11.55634442,0.309329610644444,601.5,152.570643858159,0
"s5c0262",0.82,57.35579278,11.7740784,0.307608683372222,600.9,151.570487427462,0
"s5c0357",0.82,57.31148098,11.62271422,0.308666666666667,600.47,151.982960133333,0
"s5c0536_2",0.82,57.222704,11.68613407,0.316498104345556,600.93,155.958428792387,0
"s6c0021",0.82,58.87550945,10.8409649,0.308666666666667,601.57,152.261377466667,0
"s6c0026",0.82,58.86518535,10.4855297,0.30934714857,601.43,152.561537562853,0
"s6c0093",0.82,58.8356129,10.35272573,0.313355613254444,601.2,154.479303644629,0
"s6c0229",0.82,58.79011208,10.77301248,0.307384118083333,603.6,152.140384013582,0
"s6c0414",0.82,58.71219518,10.79776377,0.307933840041111,601.3,151.83170677371,0
"s6c0491",0.82,58.67914345,10.91123227,0.308799942245556,601.07,152.20051265414,0
"s6c0594",0.82,58.62437502,10.64193637,0.309885087692222,601.33,152.80142382121,0
"s6c0651",0.82,58.59055825,10.53301185,0.308666666666667,601,152.117106666667,0
"s6c0734",0.82,58.55968885,10.93306995,0.309208187351111,600.73,152.315520197695,0
"s6c0815",0.82,58.51640125,10.90797717,0.308666666666667,600.87,152.0842028,0
"s6c0845",0.82,58.48926303,10.64474487,0.30971655312,600.43,152.48975019167,0
"s6c0913",0.82,58.45783822,10.97669837,0.310013379847778,600.87,152.74774643029,0
"s6c1058",0.82,58.3359458,10.79861368,0.292046154004445,601.47,144.038740204224,0
"s8c0036",0.82,58.25444888,10.95611752,0.308666666666667,600.9,152.091796,0
"s9c0057",0.82,57.888893,11.35288802,0.315490929642222,600.7,155.402629177588,0
"s9c0115",0.82,57.8007016,11.46598142,0.308277917462222,601.67,152.094891171586,0
"s9c0197",0.82,57.63356988,11.48606993,0.306852505084444,601.53,151.356409654425,0
"s2c0050",0.82,57.8997007,11.17824357,0.310724444444444,661.63,168.579383625778,0
"s2c0127",0.82,57.83612225,11.10952257,0.311624722222222,604.33,154.425818072055,0
"s2c0235",0.82,57.76692438,11.15495208,0.309700725722222,596.03,151.364557312817,0
"s2c0412_2",0.82,57.6901833,11.22335072,0.3127603892,601.87,154.357698267199,0
"s2c0611",0.82,57.62186038,11.31391407,0.308666666666667,600.57,152.0082708,0
"s2c1037",0.82,57.4963254,11.40022797,0.308017115735556,601,151.796994976797,0
"s3c0499",0.82,56.66695103,11.997957,0.30986614842,600.63,152.614221874914,0
"s3c0706",0.82,56.59892755,12.24311977,0.30849936779,961.13,243.136557838482,0
"s3c0959",0.82,56.52226695,12.17712857,0.308666666666667,601.33,152.200631866667,0
"s3c1016",0.82,56.49921145,11.61991383,0.308666666666667,960.9,243.210196,0
"s3c1170",0.82,56.46051078,11.73303805,0.30841632874,601.6,152.145475963387,0
"s3c1373",0.82,56.39459655,11.79628198,0.308666666666667,601.6,152.268970666667,0
"s3c1424",0.82,56.38066747,12.22012333,0.31099916035,600.63,153.172249058437,0
"s3c1585",0.82,56.31359425,12.24407062,0.308395906324444,601.57,152.127814801429,0
"s3c1711",0.82,56.2470024,12.31127552,0.306742311084444,604.97,152.16731466814,0
"s3c1727",0.82,56.23392048,12.09084157,0.308751839632222,960.77,243.244394070029,0
"s4c0212",0.82,57.08682022,12.09014018,0.359458262591111,603.3,177.826159253398,0
"s4c0372",0.82,57.02173525,12.16619792,0.308666666666667,661.47,167.4224668,0
"s5c0038",0.82,57.46481233,11.53645262,0.30907603892,592.919,150.270785854734,0
"s5c0173",0.82,57.39878882,11.68652448,0.310364071995556,602.13,153.241205309961,0
"s5c0273",0.82,57.3397228,11.50151437,0.301021270618889,594.225,146.676978917478,0
"s6c0080",0.82,58.8438869,10.68973387,0.308259454565556,577.579,145.996233756986,0
"s6c0186",0.82,58.81014685,10.48866063,0.311972864783333,601.67,153.917865114434,0
"s6c0402",0.82,58.71278302,10.53208378,0.312408080667778,601.27,154.030117463754,0
"s6c0434",0.82,58.70236358,10.66409723,0.306511925371111,601.6,151.206010928674,0
"s6c0494",0.82,58.66400033,10.41812792,0.310377095671111,601.17,153.003306855773,0
"s6c0625",0.82,58.6140163,10.88730373,0.306766344385556,601.03,151.188136292162,0
"s6c0662",0.82,58.59268958,10.77028738,0.291264472133333,584.927,139.702132191058,0
"s6c0739",0.82,58.54784958,10.671809,0.310766440087778,601.03,153.159561858485,0
"s6c0840",0.82,58.50161707,11.0817588,0.309587666781111,601.67,152.741081407197,0
"s6c0890",0.82,58.46851093,10.77646352,0.308666666666667,596.92,151.084431466667,0
"s6c1005",0.82,58.38811977,10.89312325,0.310920675676667,601.23,153.286567026408,0
"s6c1129",0.82,58.25484293,11.26435283,0.31397021746,600.9,154.705057010805,0
"s8c0210",0.82,58.10960277,11.06731715,0.318955555555556,600.93,157.16936884,0
"s9c0093",0.82,57.82558105,11.3553079,0.310932354594444,601.33,153.317821286387,0
"s9c0162",0.82,57.71239192,11.4884481,0.309055415871111,601.1,152.334032593702,0
"s9c0235",0.82,57.55800635,11.55495355,0.310155848034444,601.53,152.98579875989,0
